region_id,region_label,prefix,maker,maker_zh,maker_ja,maker_en,label_ja,code_read,pad,format,dmm_digit,status,notes,sources
japan_censored,日本有码,LULU,LUNATICS / ルナティックス,LUNATICS,ルナティックス,LUNATICS,,std3_dmm,3,{prefix}-{num},,active,本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MADM,クリスタル映像,,クリスタル映像,,,std3_dmm,3,{prefix}-{num},,active,本地库高频确认(≥100帖),bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MADV,クリスタル映像,,クリスタル映像,,,std3_dmm,3,{prefix}-{num},49,active,本地库高频确认(≥100帖),bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MAS,PRESTIGE / 普雷斯提奇,PRESTIGE / 普雷斯提奇,プレステージ,PRESTIGE,,std3_dmm,3,{prefix}-{num},,active,本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MASD,SODクリエイト,,SODクリエイト,,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=22,bitmagnet|local-db
japan_censored,日本有码,MBDD,Other Gravure / 其他写真,,その他グラビア,Other Gravure,,std3_dmm,3,{prefix}-{num},,active,片商表/ranges/DMM/权威站,authority|av-makers|bitmagnet|catalog-sync|dmm|javbus|local-db|maker-norm|missav|sehua|site|trusted
japan_censored,日本有码,MBM,MBM,,MBM,,,std3_dmm,3,{prefix}-{num},118,active,本地库高频确认(≥100帖),bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,MBRAA,Other Gravure / 其他写真,,その他グラビア,Other Gravure,,std3_dmm,3,{prefix}-{num},,active,片商表/ranges/DMM/权威站,authority|av-makers|bitmagnet|catalog-sync|dmm|javbus|local-db|maker-norm|missav|sehua|site|trusted
japan_censored,日本有码,MBRBA,Other Gravure / 其他写真,,その他グラビア,Other Gravure,,std3_dmm,3,{prefix}-{num},,active,片商表/ranges/DMM/权威站,authority|av-makers|bitmagnet|catalog-sync|dmm|javbus|local-db|maker-norm|missav|sehua|site|trusted
japan_censored,日本有码,MCSR,ビッグモーカル,,ビッグモーカル,,,std3_dmm,3,{prefix}-{num},,active,本地库高频确认(≥100帖) · 中出し人妻 · 用户确认,local-db|manual|sehua
japan_censored,日本有码,MDB,BAZOOKA / バズーカ,Bazooka,バズーカ,BAZOOKA,,std3_dmm,3,{prefix}-{num},,active,本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
